Subject,BallFreq,SL1,SL0,A0,A1
Sub202,0.5Hz,0.052506959273663306,0.20838387606753808,-0.15011929472319474,0.03909270146114213
Sub202,1Hz,0.048034571807264344,0.1712675822079297,-0.021159000300285103,0.11103119692530185
Sub202,1.5Hz,0.2925493740055579,0.023944115114591033,0.2389592011606932,-0.049993205251378015
Sub202,2.5Hz,-0.7193591115472439,-0.28979021422870876,0.04006457015257003,0.2798971922773773
Sub203,0.5Hz,-0.30252374998209197,-0.02536593813841228,0.022338707075824776,0.23037058724296386
Sub203,1Hz,-0.026079154192428948,-0.06411532636099362,-0.02222975129561196,-0.06012322828249279
Sub203,1.5Hz,0.14936622883516693,0.12683233792892978,-0.139944565804775,-0.17014250451325946
Sub203,2.5Hz,0.3383961222376799,0.2176573682471687,-0.08048867807892812,-0.2776714048992971
Sub208,0.5Hz,0.05688115433593131,-0.40775063907247,0.39217225877437595,0.09272315457353196
Sub208,1Hz,-0.18756835137121478,-0.3234002853352852,0.07642392303254024,-0.02921304898055546
Sub208,1.5Hz,-0.14514456200604323,0.1040922343644007,0.09769574858234446,0.2940791821121814
Sub208,2.5Hz,0.40805017604442134,0.11605690025895866,0.3042846130759647,-0.038893485170322005
Sub209,0.5Hz,0.34391141800612024,0.2563340796433865,-0.22370837455950013,-0.38705388203719016
Sub209,1Hz,0.16335711568809472,0.2833311095293728,-0.33931114110259775,-0.14725487718498723
Sub209,1.5Hz,-0.37744418320901135,0.23864386909834195,-0.3348596222803608,0.2621816769747019
Sub209,2.5Hz,-0.4599927819436841,0.423618026117908,-0.9485111768964808,0.2307587187001366
Sub211,0.5Hz,0.24793339338884193,-0.6618548924870453,0.04165868086375243,-1.1176637758927892
Sub211,1Hz,0.00619358566526079,-0.12175262659324804,0.003355274157411612,-0.12495635253332558
Sub211,1.5Hz,0.11004692930739314,0.26294279145168736,0.1250964731130979,0.27540679108565197
Sub211,2.5Hz,0.5758496746176692,0.46922709771927607,0.04534204489399679,-0.19463912484387969
Sub212,0.5Hz,-0.5182993144555199,-0.2845347700733188,0.09426305063787005,0.23371459571986972
Sub212,1Hz,0.17020667829132818,0.10220861176751879,0.04856014584196543,-0.029406341479506864
Sub212,1.5Hz,0.056777109689690734,0.0704707027339954,0.029513884847925283,0.043603282012225054
Sub212,2.5Hz,0.3269740586708165,0.07456359225139635,0.0986787698218489,-0.2393511605753196
Sub214,0.5Hz,-1.226145381565158,-0.26289745972696793,0.09806903667169474,0.48833246387728135
Sub214,1Hz,0.0778475123996786,0.3599251684111077,-0.2213694933551191,0.1522357925840983
Sub214,1.5Hz,0.37616201312783154,-0.5363138038437378,0.24890945145302248,-0.8496962383692357
Sub214,2.5Hz,0.8150946036151698,0.87602356694425,-0.0835307795046411,0.2735080545214289
